title,location,detail,price,agent_name,agent_status,description
rumah murah di jalan kembar luas 148 graha dewata shm aman,"Lowokwaru, Malang",2                                Kamar tidur                                    148 m²                                Bangunan                                     148 m²                                Lahan,Rp675.000.000,HRP - Habibur Rohman,Rekan Lamudi,"Dijual cepat rumah besar dan murah lokasi bagus di perumahan besar graha dewata joyo agung merjosari.Kondisi butuh uang segera.Sertifikat aman.On hand.Posisi bagus di blok depan dan depan rumah jalan sangat lebar di jalan kembar.Lokasi 10 menit ke kampus brawijaya, UIN, UNISMA, UNMUH, UNIGA dan lain lain .tanah 148 .bangunan 120 .shm .carport muat mobil besar plus 2 sepeda motor .kamar 2 .kamar mandi 1 .akses mobil simpangan longgar karena depan rumah berupa jalan kembar perumahan DIJUAL harga 675 jt nego langsung ke pemilik Yang minat silahkan wa atau telp."
HOT SALE Rumah Baru Gaya Classic American di Araya,Malang,4                                Kamar tidur                                    150 m²                                Bangunan                                     119 m²                                Lahan,Rp1.850.000.000,Sylviana Hendrawan,Rekan Lamudi Pro,"FOR SALE RUMAH BARU AMERICAN CLASSIC DI PBI ARAYA. Lokasi strategis dalam perumahan, lokasi tenang, fasilitas umum menunjang, dekat sekolah, pertokoan, rumah sakit, dan restoran. Tahap proses pembangunan 90%   Selling Points:  Rumah Baru Lokasi strategis  Design classic mewah dan elegan Rumah Layout  Free Kitchen Set dan Water Heater    Spesifikasi Properti:  Legalitas: SHM Luas tanah: 119 m2 (7 X 17) Luas bangunan: 150 m2  Jumlah kamar tidur: 4 Jumlah kamar mandi: 3 Jumlah lantai: 2  Sumber air: PDAM     Harga yang ditawarkan: 1,85 M"
RUMAH MINIMALIS MURAH SINGOSARI 0 JALAN,"Singosari, Malang",2                                Kamar tidur                                    30 m²                                Bangunan                                     60 m²                                Lahan,Rp325.000.000,Asti Properti Malang,Rekan Lamudi,BEST SELLER MODERN BANJARARUM 300 JUTAAN MODERN BANJARARUM POROS JALAN RAYA SINGOSARI EXIT TOL SINGOSARI .DEPO BANGUNAN .KAMPUS BINUS ARAYA Satu deret dengan banjararum indah .banjararum asri .omah tanjung residence Minimalis Modern Di Kawasan Berkembang di Singosari TYPE 1 LANTAI Type 30 Plafon tinggi Luas tanah 60 Kamar tidur 2 Kamar mandi 1 Harga 325 Juta Lokasi Premium : Selangkah dari SMAN 1 Singosari 3 menit exit tol singosari 10 menit bandara Abd Shaleh 10 menit exit tol pakis 4 Menit Hawaii Water Park 4 Menit Pusat Oleh-oleh Karanglo 5 Menit dari 3 Rumah Sakit terbaik di Singosari (RS.Prima Husada & RS.Marsudi Waluyo & RS.persada Hospital) 7 Menit Superindo Desain Futuristi sesuai dengan kebutuhan kaum milenial Sangat Cocok untuk hunian maupun investasi Fasilitas Unggulan : .One Gate .Security 24 jam .Langsung SHM..
Dijual Rumah di Griyashanta Dekat Kampus Brawijaya Malang,"Jatimulyo, Malang",3                                Kamar tidur                                    162 m²                                Bangunan                                     160 m²                                Lahan,Rp2.400.000.000,Dahlia Indah Kinasih,Rekan Lamudi,"Dijual Rumah Siap Huni Perumahan Griyashanta Depan Perum Green Orchid Luas Tanah 162 m² ( 9 x 18 ) Luas Bangunan 162 m² Kamar tidur 3 Kamar mandi 3 Ruang Tamu Musholla Dapur Canopi Pagar Parkir mobil + sepeda Motor PLN 2.200 watt PDAM & sumur bor Water Heater + pemanas air tenaga matahari AC 3 Jemuran dak atas SHM IMB Kelurahan lowokwaru Kecamatan lowokwaru hadap timur akses sepeda/mobil Harga 2,4M ( nego)."
"Dijual Murah Rumah Aesthetic Dekat Suhat, Bisa KPR","Lowokwaru, Malang",2                                Kamar tidur                                    36 m²                                Bangunan                                     72 m²                                Lahan,Rp589.000.000,angga angga,Rekan Lamudi Pro,Akses mobil bisa simpangan .Row jalan 9 meter .Bisa diangsur 15 tahun .10 menit dari Suhat .15 menit dari UB.
Dijual rumah siap huni di Suhat dekat kampus Brawijaya Malang,"Lowokwaru, Malang",4                                Kamar tidur                                    98 m²                                Bangunan                                     120 m²                                Lahan,Rp2.250.000.000,Dahlia Indah Kinasih,Rekan Lamudi,Dijual rumah suapnhuni 2 lantai di Green Orchid dekat Kampus Brawijaya Malang    Luas Tanah 120 m²  Luas  Bangunan 98 m²   Kamar tidur 4  Kamar mandi 3  Ruang Tamu   Dapur  PLN 2200 watt  PDAM  SHM  IMB  Taman  Kelurahan Mojolangu  Kecamatan Lowokwaru   Hadap Selatan  akses sepeda/mobil  Harga 2.25M
Rumah di jual Butuh cepat  kawasan Tirto Taruno 500m Univ Unmuh Malang,"Lowokwaru, Malang",3                                Kamar tidur                                    100 m²                                Bangunan                                     165 m²                                Lahan,Rp600.000.000,Fran Jual Rumah Malang,Rekan Lamudi Pro,"Dijual Rumah Murah luas 165m² di Tirto Utomo Landungsari, 500 meter gerbang Kampus Unmuh Kota Malang, Akses 2 meter jarak dari Jalan Tirto Utomo hanya 30meter saja, Sangat Potensial Untuk Di Bagus Kost.Spesifikasi : Luas tanah : 165m Luas Bagunan : 100m Kamar tidur : 3 Kamar Mandi : 1 Legalitas : SHM Harga : 600jt Nego dengan Pemilik Langsung Untuk Survei Lokasi Harap Janjian Terlebih Dahulu Berminat Hubungi : FRAN PEMBELI BEBAS DARI KOMISI Bisa Titip Jual Aset Properti Malang Dan Batu.."
Rumah Gebyok Asli dekat Ijen cocok untuk usaha dan rumah,"Oro-oro Dowo, Malang",3                                Kamar tidur                                    200 m²                                Bangunan                                     370 m²                                Lahan,Rp5.700.000.000,Annisa Febrianti,Rekan Lamudi,"Rumah bernuansa Jawa Kuno dilengkapi gebyok asli berumur puluhan tahun.  Bangunan dengan design asli kuno dan asri, taman ditengah rumah.  Letak strategis dipinggir jalan dekat dengan pasar bersih. Cocok dijadikan usaha maupun tempat tinggal."
kos aktif kondisi full di pinggir jalan raya dekat kampus brawijaya,"Lowokwaru, Malang",10                                Kamar tidur                                    480 m²                                Bangunan                                     131 m²                                Lahan,Rp5.000.000.000,HRP - Habibur Rohman,Rekan Lamudi,"Dijual cepat kos aktif kondisi full lokasi strategis di pinggir jalan raya sangat dekat dari kampus brawijaya, UIN, UNMUH, UNISMA dan UNIGA .luas tanah 131 .bangunan 480 .kamar 37 .kamar mandi 11 .shm .akses mobil simpangan longgar posisi di pinggir jalan raya DIJUAL harga 5 m nego langsung ke pemilik Yang minat silahkan wa atau telp."
DI JUAL CEPAT RUMAH HARGA BU DI KOTA MALANG,"Bumiayu, Malang",2                                Kamar tidur                                    70 m²                                Bangunan                                     126 m²                                Lahan,Rp600.000.000,Saiful Anwar,Rekan Lamudi,DI JUAL RUMAH LUAS DI KOTA MALANG HARGA BERSAHABAT.
